题号,题目名字 (English),题目名字 (中文),难度,tag,主要tag,labuladong link,leetcode en link,leetcode cn link,公司面经,重要性
1,Two Sum,两数之和,Easy,"数组;哈希表",数组,https://labuladong.online/algo/en/problem-set/hash-table/,https://leetcode.com/problems/two-sum,https://leetcode.cn/problems/two-sum,"Google, Meta, Amazon","经典+高频"
3,Longest Substring Without Repeating Characters,无重复字符的最长子串,Medium,"字符串;滑动窗口",字符串,https://labuladong.online/algo/en/problem-set/sliding-window/,https://leetcode.com/problems/longest-substring-without-repeating-characters,https://leetcode.cn/problems/longest-substring-without-repeating-characters,"Google, Amazon, Meta","经典+高频"
15,3Sum,三数之和,Medium,"数组;双指针",数组,https://labuladong.online/algo/en/essential-technique/two-sum/,https://leetcode.com/problems/3sum,https://leetcode.cn/problems/3sum,"Google, Meta","经典+高频"
20,Valid Parenteses,有效的括号,Easy,"栈;字符串",栈,https://labuladong.online/algo/en/problem-set/stack/,https://leetcode.com/problems/valid-parentheses,https://leetcode.cn/problems/valid-parentheses,"Meta, Amazon","经典+高频"
21,Merge Two Sorted Lists,合并两个有序链表,Easy,"链表;双指针",链表,https://labuladong.online/algo/en/data-structure/reverse-linked-list-recursion/,https://leetcode.com/problems/merge-two-sorted-lists,https://leetcode.cn/problems/merge-two-sorted-lists,"Amazon, Microsoft","经典题"
22,Generate Parentheses,括号生成,Medium,"回溯;字符串",回溯,https://labuladong.online/algo/en/problem-set/stack/,https://leetcode.com/problems/generate-parentheses,https://leetcode.cn/problems/generate-parentheses,"Meta, Amazon","经典题"
23,Merge k Sorted Lists,合并K个升序链表,Hard,"链表;优先队列;分治",链表,https://labuladong.online/algo/en/problem-set/ds-design/,https://leetcode.com/problems/merge-k-sorted-lists,https://leetcode.cn/problems/merge-k-sorted-lists,"Google, Amazon","经典题"
24,Swap Nodes in Pairs,两两交换链表中的节点,Medium,"链表;递归",链表,https://labuladong.online/algo/en/data-structure/reverse-linked-list-recursion/,https://leetcode.com/problems/swap-nodes-in-pairs,https://leetcode.cn/problems/swap-nodes-in-pairs,"Microsoft, Amazon","经典题"
31,Next Permutation,下一个排列,Medium,"数组;模拟",数组,https://labuladong.online/algo/en/essential-technique/two-sum/,https://leetcode.com/problems/next-permutation,https://leetcode.cn/problems/next-permutation,"Google, Microsoft","经典题"
33,Search in Rotated Sorted Array,搜索旋转排序数组,Medium,"数组;二分查找",二分查找,https://labuladong.online/algo/en/problem-set/binary-search/,https://leetcode.com/problems/search-in-rotated-sorted-array,https://leetcode.cn/problems/search-in-rotated-sorted-array,"Google, Meta","经典题"
34,Find First and Last Position of Element in Sorted Array,在排序数组中查找元素的第一个和最后一个位置,Medium,"数组;二分查找",二分查找,https://labuladong.online/algo/en/problem-set/binary-search/,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,https://leetcode.cn/problems/find-first-and-last-position-of-element-in-sorted-array,"Amazon, Microsoft","高频题"
39,Combination Sum,组合总和,Medium,"回溯;数组",回溯,https://labuladong.online/algo/en/problem-set/backtracking/,https://leetcode.com/problems/combination-sum,https://leetcode.cn/problems/combination-sum,"Amazon, Meta","经典题"
42,Trapping Rain Water,接雨水,Hard,"栈;双指针",双指针,https://labuladong.online/algo/en/essential-technique/two-sum/,https://leetcode.com/problems/trapping-rain-water,https://leetcode.cn/problems/trapping-rain-water,"Google, Meta","经典+高频"
46,Permutations,全排列,Medium,"回溯;数组",回溯,https://labuladong.online/algo/en/problem-set/backtracking/,https://leetcode.com/problems/permutations,https://leetcode.cn/problems/permutations,"Amazon, Microsoft","经典题"
48,Rotate Image,旋转图像,Medium,"数组;矩阵",数组,https://labuladong.online/algo/en/problem-set/array-two-pointers/,https://leetcode.com/problems/rotate-image,https://leetcode.cn/problems/rotate-image,"Amazon, Meta","经典题"
49,Group Anagrams,字母异位词分组,Medium,"哈希表;字符串",哈希表,https://labuladong.online/algo/en/problem-set/hash-table/,https://leetcode.com/problems/group-anagrams,https://leetcode.cn/problems/group-anagrams,"Meta, Amazon","经典题"
50,Pow(x, n),Pow(x, n),Medium,"数学;二分求幂",数学,https://labuladong.online/algo/en/problem-set/binary-search/,https://leetcode.com/problems/powx-n,https://leetcode.cn/problems/powx-n,"Apple, Amazon","经典题"
53,Maximum Subarray,最大子序和,Easy,"数组;动态规划",动态规划,https://labuladong.online/algo/en/problem-set/array-two-pointers/,https://leetcode.com/problems/maximum-subarray,https://leetcode.cn/problems/maximum-subarray,"Meta, Amazon","经典题"
55,Jump Game,跳跃游戏,Medium,"贪心;数组",贪心,https://labuladong.online/algo/en/problem-set/greedy/,https://leetcode.com/problems/jump-game,https://leetcode.cn/problems/jump-game,"Amazon, Google","经典题"
56,Merge Intervals,合并区间,Medium,"数组;排序",数组,https://labuladong.online/algo/en/problem-set/binary-search/,https://leetcode.com/problems/merge-intervals,https://leetcode.cn/problems/merge-intervals,"Google, Meta","经典+高频"
57,Insert Interval,插入区间,Medium,"数组;排序",数组,https://labuladong.online/algo/en/problem-set/binary-search/,https://leetcode.com/problems/insert-interval,https://leetcode.cn/problems/insert-interval,"Google, Meta","高频题"
62,Unique Paths,不同路径,Medium,"数学;动态规划",动态规划,https://labuladong.online/algo/en/problem-set/dynamic-programming/,https://leetcode.com/problems/unique-paths,https://leetcode.cn/problems/unique-paths,"Amazon, Microsoft","经典题"
70,Climbing Stairs,爬楼梯,Easy,"动态规划",动态规划,https://labuladong.online/algo/en/problem-set/dynamic-programming/,https://leetcode.com/problems/climbing-stairs,https://leetcode.cn/problems/climbing-stairs,"Amazon, Microsoft","经典题"
73,Set Matrix Zeroes,矩阵置零,Medium,"数组;矩阵",数组,https://labuladong.online/algo/en/problem-set/array-two-pointers/,https://leetcode.com/problems/set-matrix-zeroes,https://leetcode.cn/problems/set-matrix-zeroes,"Meta, Microsoft","经典题"
75,Sort Colors,颜色分类,Medium,"数组;双指针",数组,https://labuladong.online/algo/en/problem-set/array-two-pointers/,https://leetcode.com/problems/sort-colors,https://leetcode.cn/problems/sort-colors,"Meta, Amazon","经典题"
78,Subsets,子集,Medium,"回溯;位运算",回溯,https://labuladong.online/algo/en/problem-set/backtracking/,https://leetcode.com/problems/subsets,https://leetcode.cn/problems/subsets,"Meta, Amazon","经典题"
79,Word Search,单词搜索,Medium,"回溯;矩阵",回溯,https://labuladong.online/algo/en/problem-set/backtracking/,https://leetcode.com/problems/word-search,https://leetcode.cn/problems/word-search,"Microsoft, Amazon","经典题"
82,Remove Duplicates from Sorted List II,删除有序数组中的重复项 II,Medium,"链表;双指针",链表,https://labuladong.online/algo/en/problem-set/linkedlist-two-pointers/,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii,https://leetcode.cn/problems/remove-duplicates-from-sorted-list-ii,"Amazon, Microsoft","高频题"
84,Largest Rectangle in Histogram,柱状图中最大的矩形,Hard,"栈;数组",栈,https://labuladong.online/algo/en/problem-set/monotonic-stack/,https://leetcode.com/problems/largest-rectangle-in-histogram,https://leetcode.cn/problems/largest-rectangle-in-histogram,"Google, Amazon","经典题"
